"Can’t contact %@.",,"Δεν είναι δυνατή η επικοινωνία με το χρήστη %@.",,"None",,"All",,"Skype for Business for iOS",,""
"The calling feature is disabled.",,"Η δυνατότητα κλήσεων είναι απενεργοποιημένη.",,"None",,"All",,"Skype for Business for iOS",,""
"The call can’t be completed due to a server issue.",,"Δεν είναι δυνατή η ολοκλήρωση της κλήσης, λόγω προβλήματος στο διακομιστή.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ can't accept audio calls.",,"Ο χρήστης %@ δεν μπορεί να αποδεχθεί κλήσεις ήχου.",,"None",,"All",,"Skype for Business for iOS",,""
"Your organization doesn't support calling this number.",,"Ο οργανισμός σας δεν υποστηρίζει την κλήση αυτού του αριθμού.",,"None",,"All",,"Skype for Business for iOS",,""
"Operation was unsuccessful.",,"Η λειτουργία δεν ήταν επιτυχής.",,"None",,"All",,"Skype for Business for iOS",,""
"You can’t make a VoIP call right now. Try calling from your work number.",,"Δεν μπορείτε να πραγματοποιήσετε μια κλήση VoIP αυτήν τη στιγμή. Δοκιμάστε να καλέσετε από τον αριθμό εργασίας σας.",,"None",,"All",,"Skype for Business for iOS",,""
"You can't make a VoIP call right now. Try calling from your mobile number.",,"Δεν μπορείτε να πραγματοποιήσετε μια κλήση VoIP αυτήν τη στιγμή. Δοκιμάστε να καλέσετε από τον αριθμό του κινητού σας.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ can’t answer this call.",,"Ο χρήστης %@ δεν μπορεί να απαντήσει στην κλήση.",,"None",,"All",,"Skype for Business for iOS",,""
"The person you called responded with an IM.",,"Το άτομο που καλέσατε απάντησε με άμεσο μήνυμα.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ didn’t answer.",,"Ο χρήστης %@ δεν απάντησε.",,"None",,"All",,"Skype for Business for iOS",,""
"Call ended because %@ signed out.",,"Η κλήση τερματίστηκε, επειδή ο χρήστης %@ πραγματοποίησε έξοδο.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is in another call.",,"Ο χρήστης %@ βρίσκεται σε άλλη κλήση.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ isn’t in service. Please check the number.",,"Ο αριθμός %@ δεν λειτουργεί. Ελέγξτε τον αριθμό.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is set to Do Not Disturb.",,""Η κατάσταση του χρήστη %@ είναι ""Μην ενοχλείτε""."",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is unavailable.",,"Ο χρήστης %@ δεν είναι διαθέσιμος.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is unavailable or may be offline.",,"Ο χρήστης %@ δεν είναι διαθέσιμος ή ίσως βρίσκεται εκτός σύνδεσης.",,"None",,"All",,"Skype for Business for iOS",,""
"You can’t call %@ because calls are restricted by policy.",,"Δεν μπορείτε να καλέσετε το %@ επειδή οι κλήσεις περιορίζονται από πολιτική.",,"None",,"All",,"Skype for Business for iOS",,""
"The server can’t forward the call. Please try again.",,"Ο διακομιστής δεν μπορεί να προωθήσει την κλήση. Δοκιμάστε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
"The server isn’t responding. Please try again later.",,"Ο διακομιστής δεν ανταποκρίνεται. Δοκιμάστε ξανά αργότερα.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t connect the call due to a server error. Please try again.",,"Δεν είναι δυνατή η σύνδεση της κλήσης, λόγω σφάλματος διακομιστή. Δοκιμάστε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
"The call couldn't be transferred.",,"Δεν ήταν δυνατή η μεταφορά της κλήσης.",,"None",,"All",,"Skype for Business for iOS",,""
"The call couldn't be transferred because the recipient can't be reached.",,"Δεν ήταν δυνατή η μεταφορά της κλήσης επειδή δεν είναι δυνατή η επικοινωνία με τον αποδέκτη.",,"None",,"All",,"Skype for Business for iOS",,""
"You’re not configured to connect to the server.  Please contact your support team.",,"Οι παράμετροί σας δεν έχουν ρυθμιστεί για σύνδεση με το διακομιστή. Επικοινωνήστε με την ομάδα υποστήριξης.",,"None",,"All",,"Skype for Business for iOS",,""
"Earpiece",,"Ακουστικό",,"None",,"All",,"Skype for Business for iOS",,""
"Edit",,"Επεξεργασία",,"None",,"All",,"Skype for Business for iOS",,""
"%1$01d:%2$02d",,"%1$01d:%2$02d",,"None",,"All",,"Skype for Business for iOS",,""
"Email Address",,"Διεύθυνση email",,"None",,"All",,"Skype for Business for iOS",,""
"%1$@ conversation with %2$@",,"Συνομιλία %1$@ με: %2$@",,"None",,"All",,"Skype for Business for iOS",,""
"The fine print:",,""Τα ""ψιλά"" γράμματα:"",,"None",,"All",,"Skype for Business for iOS",,""
"Normal carrier charges apply to all calls.\n\nImportant: Don’t use the Skype for Business app to make emergency calls.",,"Για όλες τις κλήσεις ισχύουν οι κανονικές χρεώσεις των εταιρειών κινητής τηλεφωνίας.\n\nΣημαντικό: Μην χρησιμοποιείτε το Skype για επιχειρήσεις για κλήσεις έκτακτης ανάγκης.",,"None",,"All",,"Skype for Business for iOS",,""
"Don't use the Skype for Business app to make emergency calls.",,"Μην χρησιμοποιείτε το Skype για επιχειρήσεις για κλήσεις έκτακτης ανάγκης.",,"None",,"All",,"Skype for Business for iOS",,""
"Important",,"Σημαντικό",,"None",,"All",,"Skype for Business for iOS",,""
"Emergency number",,"Αριθμός έκτακτης ανάγκης",,"None",,"All",,"Skype for Business for iOS",,""
"Enable Logging",,"Ενεργοποίηση",,"None",,"All",,"Skype for Business for iOS",,""
"End",,"Τέλος",,"None",,"All",,"Skype for Business for iOS",,""
"End Conversation",,"Τερματισμός συνομιλίας",,"None",,"All",,"Skype for Business for iOS",,""
"End Video",,"Τερματισμός βίντεο",,"None",,"All",,"Skype for Business for iOS",,""
"Enter your name",,"Πληκτρολογήστε το όνομά σας",,"None",,"All",,"Skype for Business for iOS",,""
"Enter your password",,"Εισαγωγή κωδικού πρόσβασης",,"None",,"All",,"Skype for Business for iOS",,""
"Error",,"Σφάλμα",,"None",,"All",,"Skype for Business for iOS",,""
"Failed to retrieve members of this group.",,"Η ανάκτηση αριθμών από αυτήν την ομάδα απέτυχε.",,"None",,"All",,"Skype for Business for iOS",,""
"Cannot use this group because it contains more than 100 members.",,"Δεν είναι δυνατή η χρήση αυτής της ομάδας επειδή περιέχει περισσότερα από 100 μέλη.",,"None",,"All",,"Skype for Business for iOS",,""
"Starting conference call...",,"Έναρξη κλήσης διάσκεψης...",,"None",,"All",,"Skype for Business for iOS",,""
"Starting video conference...",,"Έναρξη διάσκεψης με βίντεο...",,"None",,"All",,"Skype for Business for iOS",,""
"Event",,"Εκδήλωση",,"None",,"All",,"Skype for Business for iOS",,""
"Exchange",,"Exchange",,"None",,"All",,"Skype for Business for iOS",,""
"Skype for Business needs your Exchange credentials to show all your meetings and voice mail information.",,"Το Skype για επιχειρήσεις χρειάζεται τα διαπιστευτήρια Exchange για να εμφανίσει όλες τις συσκέψεις και τις πληροφορίες του τηλεφωνητή σας.",,"None",,"All",,"Skype for Business for iOS",,""
"Exchange Web Services FQDN or URL",,"FQDN ή διεύθυνση URL για τις Υπηρεσίες Web του Exchange",,"None",,"All",,"Skype for Business for iOS",,""
"Exit Full Screen",,"Έξοδος από πλήρη οθόνη",,"None",,"All",,"Skype for Business for iOS",,""
"Group %@, Expanded",,"Ομάδα %@, αναπτυγμένη",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to collapse.",,"Διπλό κτύπημα για σύμπτυξη.",,"None",,"All",,"Skype for Business for iOS",,""
"External Discovery Address",,"Εξωτ. διεύθυνση εντοπισμού",,"None",,"All",,"Skype for Business for iOS",,""
"Call me back",,"Επιστροφή κλήσης",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is currently added to favorites",,"Η επαφή %@ έχει προστεθεί αυτήν τη στιγμή στα αγαπημένα",,"None",,"All",,"Skype for Business for iOS",,""
"Please fill in required fields correctly before sending the feedback.",,"Συμπληρώστε σωστά τα απαιτούμενα πεδία πριν από την αποστολή των σχολίων.",,"None",,"All",,"Skype for Business for iOS",,""
"Failed to send the feedback. Please verify your internet connection.",,"Η αποστολή των σχολίων απέτυχε. Ελέγξτε τη σύνδεσή σας στο Internet.",,"None",,"All",,"Skype for Business for iOS",,""
"Choose...",,"Επιλογή...",,"None",,"All",,"Skype for Business for iOS",,""
"Steps to reproduce the issue \n1.\n2.\n3.\n",,"Βήματα για την αναπαραγωγή του ζητήματος \n1.\n2.\n3.\n",,"None",,"All",,"Skype for Business for iOS",,""
"Current",,"Τρέχουσα",,"None",,"All",,"Skype for Business for iOS",,""
"Dogfood feedback",,"Σχόλια για τη δοκιμαστική έκδοση",,"None",,"All",,"Skype for Business for iOS",,""
"Your e-mail address",,"Η διεύθυνση email σας",,"None",,"All",,"Skype for Business for iOS",,""
"Please enter the issue title.",,"Πληκτρολογήστε τίτλο.",,"None",,"All",,"Skype for Business for iOS",,""
"Feedback",,"Σχόλια",,"None",,"All",,"Skype for Business for iOS",,""
"Include Screenshot",,"Συμπερίληψη στιγμιότυπου",,"None",,"All",,"Skype for Business for iOS",,""
"Retrieve logs",,"Ανάκτηση αρχείων καταγραφής",,"None",,"All",,"Skype for Business for iOS",,""
"Do you want to send feedback to developers or retrieve log files via e-mail?",,"Θέλετε να αποστείλετε σχόλια σε προγραμματιστές ή να ανακτήσετε αρχεία καταγραφής μέσω email;",,"None",,"All",,"Skype for Business for iOS",,""
"Send feedback",,"Αποστολή σχολίων",,"None",,"All",,"Skype for Business for iOS",,""
"NOTE: Data sent in report submissions will be “Support Data” under your agreement for Office 365 (or Skype), including any information that would otherwise be considered “Customer Data” or “Personal Data”.Please do not submit reports that may include data you do not wish to provide to Microsoft as “Support Data”.\n\nWe may not respond directly, but we do review and discuss every submission.",,""ΣΗΜΕΙΩΣΗ: Τα δεδομένα που αποστέλλονται με τις υποβολές αναφορών θα αποτελούν ""Δεδομένα υποστήριξης"" στα πλαίσια της συμφωνίας σας για το Office 365 (ή το Skype), συμπεριλαμβανομένων τυχόν πληροφοριών που, σε άλλη περίπτωση, θα θεωρούνταν ""Δεδομένα πελατών"" ή ""Προσωπικά δεδομένα"". Μην υποβάλετε αναφορές που μπορεί να περιλαμβάνουν δεδομένα που δεν επιθυμείτε να παράσχετε στη Microsoft ως ""Δεδομένα υποστήριξης"".\n\nΕνδέχεται να μην απαντήσουμε απευθείας, αλλά εξετάζουμε και αναλύουμε κάθε υποβολή."",,"None",,"All",,"Skype for Business for iOS",,""
"Microsoft Privacy Statement",,"Δήλωση προστασίας προσωπικών δεδομένων της Microsoft",,"None",,"All",,"Skype for Business for iOS",,""
"Send",,"Αποστολή",,"None",,"All",,"Skype for Business for iOS",,""
"New Settings:",,"Νέες ρυθμίσεις:",,"None",,"All",,"Skype for Business for iOS",,""
"Your current settings:",,"Οι τρέχουσες ρυθμίσεις σας:",,"None",,"All",,"Skype for Business for iOS",,""
"CHANGE CALL FORWARDING SETTINGS?",,"ΑΛΛΑΓΗ ΡΥΘΜΙΣΕΩΝ ΠΡΟΩΘΗΣΗΣ ΚΛΗΣΕΩΝ;",,"None",,"All",,"Skype for Business for iOS",,""
"Can we change this so work calls will simultaneously ring you at work and at %@?",,"Μπορούμε να το αλλάξουμε ώστε να λαμβάνετε τις επαγγελματικές κλήσεις στην εργασία σας και στο %@;",,"None",,"All",,"Skype for Business for iOS",,""
"You've entered your phone number to get work calls. Now we need to change your current call forwarding settings so that your phone will ring.",,"Έχετε καταχωρήσει τον αριθμό τηλεφώνου σας για να λαμβάνετε επαγγελματικές κλήσεις. Πρέπει τώρα να αλλάξουμε τις τρέχουσες ρυθμίσεις προώθησης κλήσεων προκειμένου να κτυπά το τηλέφωνό σας.",,"None",,"All",,"Skype for Business for iOS",,""
"Lync is now Skype for Business - bringing together the experience of Skype with the enterprise quality of Microsoft.",,"Το Lync έγινε Skype για επιχειρήσεις - συνδυάζει την εμπειρία του Skype με την επαγγελματική ποιότητα της Microsoft.",,"None",,"All",,"Skype for Business for iOS",,""
"Anyone can use this app to join a Skype Meeting, but to enjoy all the features, you need a Skype for Business account and your organization must have enabled this app.",,"Οποιοσδήποτε μπορεί να χρησιμοποιήσει αυτή την εφαρμογή για να συμμετάσχει σε μια σύσκεψη Skype. Ωστόσο, για να επωφεληθείτε από τις πλήρεις δυνατότητες, θα χρειαστείτε λογαριασμό Skype για επιχειρήσεις και ο οργανισμός σας θα πρέπει να έχει ενεργοποιήσει την εφαρμογή.",,"None",,"All",,"Skype for Business for iOS",,""
"YOU'RE ALL SET!",,"ΕΙΣΤΕ ΕΤΟΙΜΟΙ!",,"None",,"All",,"Skype for Business for iOS",,""
"You can make changes anytime in Settings.",,""Μπορείτε να κάνετε αλλαγές οποιαδήποτε στιγμή από τις ""Ρυθμίσεις""."",,"None",,"All",,"Skype for Business for iOS",,""
"WELCOME!",,"ΚΑΛΩΣ ΟΡΙΣΑΤΕ!",,"None",,"All",,"Skype for Business for iOS",,""
"Before You Start",,"Προτού ξεκινήσετε",,"None",,"All",,"Skype for Business for iOS",,""
"Forward Calls",,"Προώθηση κλήσεων",,"None",,"All",,"Skype for Business for iOS",,""
"Forward Calls To",,"Προώθηση κλήσεων σε:",,"None",,"All",,"Skype for Business for iOS",,""
"Select Number",,"Επιλογή αριθμού",,"None",,"All",,"Skype for Business for iOS",,""
"Calls will be forwarded directly to %@. If that's not your mobile number, you won't receive calls on your mobile phone.",,"Οι κλήσεις θα προωθούνται απευθείας στο %@. Εάν δεν είναι αυτός ο αριθμός του κινητού σας, δεν θα λαμβάνετε κλήσεις στο κινητό σας.",,"None",,"All",,"Skype for Business for iOS",,""
"Calls will be forwarded directly to %@.",,"Οι κλήσεις θα προωθούνται απευθείας στον αριθμό %@.",,"None",,"All",,"Skype for Business for iOS",,""
"Calls will be forwarded directly to %@ and not ring your iPad.",,"Οι κλήσεις θα προωθούνται απευθείας στο %@ και δεν θα λαμβάνονται στο iPad.",,"None",,"All",,"Skype for Business for iOS",,""
"Forwarded by %@",,"Προώθηση από το χρήστη %@",,"None",,"All",,"Skype for Business for iOS",,""
"Full Screen",,"Πλήρης οθόνη",,"None",,"All",,"Skype for Business for iOS",,""
"A server error occurred. Please try again.",,"Παρουσιάστηκε σφάλμα διακομιστή. Δοκιμάστε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect to the server. Retrying...",,"Δεν είναι δυνατή η σύνδεση στο διακομιστή. Επανάληψη...",,"None",,"All",,"Skype for Business for iOS",,""
"To complete the call, we're calling you back. Do you want to continue?",,"Για ολοκλήρωση της κλήσης, θα σάς επιστρέψουμε την κλήση. Θέλετε να συνεχίσετε;",,"None",,"All",,"Skype for Business for iOS",,""
"Get a Call Back",,"Λήψη επιστροφής κλήσης",,"None",,"All",,"Skype for Business for iOS",,""
"Group Conversation",,"Ομαδική συνομιλία",,"None",,"All",,"Skype for Business for iOS",,""
"Group card",,"Κάρτα ομάδας",,"None",,"All",,"Skype for Business for iOS",,""
"The group is too large to display.",,"Η ομάδα είναι πολύ μεγάλη για εμφάνιση.",,"None",,"All",,"Skype for Business for iOS",,""
"Groups",,"Ομάδες",,"None",,"All",,"Skype for Business for iOS",,""
"Guest",,"Επισκέπτης",,"None",,"All",,"Skype for Business for iOS",,""
"Hide",,"Απόκρυψη",,"None",,"All",,"Skype for Business for iOS",,""
"HTTP Proxy",,"Proxy HTTP",,"None",,"All",,"Skype for Business for iOS",,""
"Hang Up",,"Τερματισμός κλήσης",,"None",,"All",,"Skype for Business for iOS",,""
"Headphones",,"Ακουστικά",,"None",,"All",,"Skype for Business for iOS",,""
"Hide Advanced Options",,"Απόκρυψη",,"None",,"All",,"Skype for Business for iOS",,""
"Hide Keypad",,"Απόκρυψη πληκτρολογίου",,"None",,"All",,"Skype for Business for iOS",,""
"Hold call",,"Κλήση σε αναμονή",,"None",,"All",,"Skype for Business for iOS",,""
"Home",,"Οικία",,"None",,"All",,"Skype for Business for iOS",,""
"To finish setting up your HTTP Proxy, please use your %@ Wi-Fi settings.",,"Για να ολοκληρώσετε τη ρύθμιση του Proxy HTTP, χρησιμοποιήστε τις ρυθμίσεις Wi-Fi του %@ σας.",,"None",,"All",,"Skype for Business for iOS",,""
"Http Proxy",,"Proxy HTTP",,"None",,"All",,"Skype for Business for iOS",,""
"IM",,"IM",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is inviting you to a group conversation. Double-tap to accept.",,"Ο χρήστης %@ σάς προσκαλεί σε μια ομαδική συνομιλία. Πατήστε δύο φορές για αποδοχή.",,"None",,"All",,"Skype for Business for iOS",,""
"IM Only",,"Μόνο IM",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is inviting you to a conversation. Double-tap to accept.",,"Ο χρήστης %@ σάς προσκαλεί σε μια συνομιλία. Πατήστε δύο φορές για αποδοχή.",,"None",,"All",,"Skype for Business for iOS",,""
"LOBBY (%d)",,"ΧΩΡΟΣ ΑΝΑΜΟΝΗΣ (%d)",,"None",,"All",,"Skype for Business for iOS",,""
"In a call",,"Σε κλήση",,"None",,"All",,"Skype for Business for iOS",,""
"In a conference call",,"Σε κλήση τηλεδιάσκεψης",,"None",,"All",,"Skype for Business for iOS",,""
"In a meeting",,"Σε σύσκεψη",,"None",,"All",,"Skype for Business for iOS",,""
"In presentation",,"Σε παρουσίαση",,"None",,"All",,"Skype for Business for iOS",,""
"Inactive",,"Ανενεργός-ή",,"None",,"All",,"Skype for Business for iOS",,""
"Instant Messaging",,"Ανταλλαγή άμεσων μηνυμάτων",,"None",,"All",,"Skype for Business for iOS",,""
"Internal Discovery Address",,"Εσωτ. διεύθυνση εντοπισμού",,"None",,"All",,"Skype for Business for iOS",,""
"Invite",,"Πρόσκληση",,"None",,"All",,"Skype for Business for iOS",,""
"Invite Others",,"Πρόσκληση άλλων",,"None",,"All",,"Skype for Business for iOS",,""
"INVITEES",,"ΠΡΟΣΚΕΚΛΗΜΕΝΟΙ",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is calling %@",,"Ο χρήστης %@ καλεί τον χρήστη %@",,"None",,"All",,"Skype for Business for iOS",,""
"The meeting connection was lost.",,"Η σύνδεση στη σύσκεψη χάθηκε.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect you to the meeting without your phone number. Please add your phone number in Skype for Business options.",,"Δεν μπορούμε να σας συνδέσουμε στη σύσκεψη χωρίς τον αριθμό του τηλεφώνου σας. Προσθέστε τον αριθμό του τηλεφώνου σας στις επιλογές του Skype για επιχειρήσεις.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect you to the meeting without your iPhone number. Please add your iPhone number in Skype for Business options.",,"Δεν μπορούμε να σας συνδέσουμε στη σύσκεψη χωρίς τον αριθμό του iPhone σας. Προσθέστε τον αριθμό του iPhone σας στις επιλογές του Skype για επιχειρήσεις.",,"None",,"All",,"Skype for Business for iOS",,""
"Join Meeting",,"Συμμετοχή σε σύσκεψη",,"None",,"All",,"Skype for Business for iOS",,""
"Joining the Meeting\n%@",,"Συμμετοχή στη σύσκεψη\n%@",,"None",,"All",,"Skype for Business for iOS",,""
"Joining meeting",,"Συμμετοχή σε σύσκεψη",,"None",,"All",,"Skype for Business for iOS",,""
"Calling you back on %@...",,"Γίνεται επιστροφή κλήσης σας στον αριθμό %@...",,"None",,"All",,"Skype for Business for iOS",,""
"Hello. You're in our virtual lobby, so make yourself comfortable. Please don’t move away from the app—the organizer will let you in soon.",,"Γεια σας. Βρίσκεστε στον εικονικό χώρο υποδοχής μας, νιώστε σαν στο σπίτι σας. Μην απομακρυνθείτε από την εφαρμογή—ο διοργανωτής θα σας επιτρέψει την είσοδο σύντομα.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect you because the meeting is full. Try contacting the organizer.",,"Δεν μπορούμε να σας συνδέσουμε, επειδή η σύσκεψη είναι πλήρης. Δοκιμάστε να επικοινωνήσετε με το διοργανωτή.",,"None",,"All",,"Skype for Business for iOS",,""
"The connection was lost. Tap Join to try again.",,"Η σύνδεση χάθηκε. Συνδεθείτε για να δοκιμάσετε ξανά.",,"None",,"All",,"Skype for Business for iOS",,""
"You weren't admitted because the organizer isn’t there or didn’t respond.",,"Δεν γίνατε αποδεκτοί, επειδή ο διοργανωτής δεν ήταν εκεί ή δεν αποκρίθηκε.",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to open audio routing options",,"Διπλό κτύπημα για άνοιγμα των επιλογών δρομολόγησης ήχου",,"None",,"All",,"Skype for Business for iOS",,""
"Audio button",,"Κουμπί ήχου",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to open audio routing options.",,"Διπλό κτύπημα για άνοιγμα των επιλογών δρομολόγησης ήχου.",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to unmute.",,"Πατήστε δύο φορές για κατάργηση σίγασης.",,"None",,"All",,"Skype for Business for iOS",,""
"Call muted",,"Κλήση σε σίγαση",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to mute.",,"Πατήστε δύο φορές για σίγαση.",,"None",,"All",,"Skype for Business for iOS",,""
"Call unmuted",,"Καταργήθηκε η σίγαση της κλήσης",,"None",,"All",,"Skype for Business for iOS",,""
"Resume call",,"Συνέχιση κλήσης",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to turn speaker phone on.",,"Πατήστε δύο φορές για να ενεργοποιήσετε το ηχείο.",,"None",,"All",,"Skype for Business for iOS",,""
"Speaker phone is turned off",,"Το ηχείο του τηλεφώνου είναι απενεργοποιημένο",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to turn speaker phone off.",,"Πατήστε δύο φορές για να απενεργοποιήσετε το ηχείο.",,"None",,"All",,"Skype for Business for iOS",,""
"Speaker phone is turned on",,"Το ηχείο του τηλεφώνου είναι ενεργοποιημένο",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to turn video on.",,"Πατήστε δύο φορές για να ενεργοποιήσετε το βίντεο.",,"None",,"All",,"Skype for Business for iOS",,""
"Video is turned off",,"Το βίντεό σας είναι απενεργοποιημένο",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to turn video off.",,"Πατήστε δύο φορές για να απενεργοποιήσετε το βίντεο.",,"None",,"All",,"Skype for Business for iOS",,""
"Video is turned on",,"Το βίντεο ενεργοποιήθηκε",,"None",,"All",,"Skype for Business for iOS",,""
"Large Meeting",,"Μεγάλη σύσκεψη",,"None",,"All",,"Skype for Business for iOS",,""
"The participant list isn't available for large meetings.",,"Η λίστα συμμετεχόντων δεν είναι διαθέσιμη για μεγάλες συσκέψεις.",,"None",,"All",,"Skype for Business for iOS",,""
"Speaker info isn't available for large meetings.",,"Οι πληροφορίες ηχείου δεν είναι διαθέσιμες για μεγάλες συσκέψεις.",,"None",,"All",,"Skype for Business for iOS",,""
"Leave Video",,"Έξοδος από βίντεο",,"None",,"All",,"Skype for Business for iOS",,""
"Let's begin...",,"Ας ξεκινήσουμε...",,"None",,"All",,"Skype for Business for iOS",,""
"link",,"σύνδεση",,"None",,"All",,"Skype for Business for iOS",,""
"Loading name...",,"Φόρτωση ονόματος...",,"None",,"All",,"Skype for Business for iOS",,""
"Looks like you're the only one on the call.",,"Φαίνεται ότι είστε ο μόνος συμμετέχων στην κλήση.",,"None",,"All",,"Skype for Business for iOS",,""
"Local hold succeeded",,"Η τοπική θέση σε αναμονή ολοκληρώθηκε με επιτυχία",,"None",,"All",,"Skype for Business for iOS",,""
"Local Unhold Succeeded",,"Η τοπική διακοπή αναμονής ολοκληρώθηκε με επιτυχία",,"None",,"All",,"Skype for Business for iOS",,""
"location",,"τοποθεσία",,"None",,"All",,"Skype for Business for iOS",,""
"Skype for Business Log Files",,"Αρχεία καταγραφής του Skype για επιχειρήσεις",,"None",,"All",,"Skype for Business for iOS",,""
"Logging",,"Καταγραφή",,"None",,"All",,"Skype for Business for iOS",,""
"Skype® for Business for %1$@",,"Skype® για επιχειρήσεις για %1$@",,"None",,"All",,"Skype for Business for iOS",,""
"Skype for Business call",,"Κλήση Skype για επιχειρήσεις",,"None",,"All",,"Skype for Business for iOS",,""
"Skype Meeting",,"Σύσκεψη Skype",,"None",,"All",,"Skype for Business for iOS",,""
"Skype for Business is signing in",,"Το Skype για επιχειρήσεις πραγματοποιεί είσοδο",,"None",,"All",,"Skype for Business for iOS",,""
"Skype for Business is signing out",,"Το Skype για επιχειρήσεις πραγματοποιεί έξοδο",,"None",,"All",,"Skype for Business for iOS",,""
"%@ Quit Unexpectedly",,"Το %@ τερματίστηκε απροσδόκητα",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to edit",,"Πατήστε δύο φορές για επεξεργασία",,"None",,"All",,"Skype for Business for iOS",,""
"Enter your personal note",,"Εισάγετε προσωπική σημείωση",,"None",,"All",,"Skype for Business for iOS",,""
"Personal note",,"Προσωπική σημείωση",,"None",,"All",,"Skype for Business for iOS",,""
"Anyone can use the Skype for Business mobile app when invited to a Skype Meeting. However, to enjoy the full capability of the app, you must have a Skype for Business account.",,"Καθένας μπορεί να χρησιμοποιήσει την εφαρμογή Skype για επιχειρήσεις, για κινητές συσκευές όταν προσκληθεί σε Σύσκεψη Skype. Ωστόσο, για να επωφεληθείτε από τις πλήρεις δυνατότητες της εφαρμογής, θα πρέπει να διαθέτετε λογαριασμό Skype για επιχειρήσεις.",,"None",,"All",,"Skype for Business for iOS",,""
"%d+ Participants",,"%d+ συμμ/χοντες",,"None",,"All",,"Skype for Business for iOS",,""
"Me: %@",,"Εγώ: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Double tap to meet now.",,"Πατήστε δύο φορές για πραγματοποίηση σύσκεψης τώρα.",,"None",,"All",,"Skype for Business for iOS",,""
"Create and start a new ad-hoc online meeting",,"Δημιουργήστε και ξεκινήστε μια νέα ηλεκτρονική σύσκεψη",,"None",,"All",,"Skype for Business for iOS",,""
"You won't see presented content because you're not connected to Wi-Fi.",,"Δεν θα δείτε το περιεχόμενο που παρουσιάζεται επειδή δεν είστε συνδεδεμένοι με Wi-Fi.",,"None",,"All",,"Skype for Business for iOS",,""
"When joining a meeting, if Wi-Fi is not available, we will call you on %@",,"Κατά τη συμμετοχή σε σύσκεψη, εάν το Wi-Fi δεν είναι διαθέσιμο, θα σας καλούμε στο %@",,"None",,"All",,"Skype for Business for iOS",,""
"When joining a meeting, Wi-Fi will be used when available - then use your data plan",,"Κατά τη συμμετοχή σε σύσκεψη, το Wi-Fi θα χρησιμοποιείται όταν είναι διαθέσιμο - στη συνέχεια, χρησιμοποιήστε το πρόγραμμα δεδομένων",,"None",,"All",,"Skype for Business for iOS",,""
"If you’re not the organizer, your mic will be muted when you join.",,"Εάν δεν είστε ο διοργανωτής, το μικρόφωνό σας θα είναι σε σίγαση κατά τη σύνδεσή σας.",,"None",,"All",,"Skype for Business for iOS",,""
"Meetings",,"Συσκέψεις",,"None",,"All",,"Skype for Business for iOS",,""
"Today",,"Σήμερα",,"None",,"All",,"Skype for Business for iOS",,""
"Tomorrow",,"Αύριο",,"None",,"All",,"Skype for Business for iOS",,""
"MEMBERS",,"ΜΕΛΗ",,"None",,"All",,"Skype for Business for iOS",,""
"Message sent.",,"Το μήνυμα εστάλη.",,"None",,"All",,"Skype for Business for iOS",,""
"Microphone Access",,"Πρόσβαση στο μικρόφωνο",,"None",,"All",,"Skype for Business for iOS",,""
"Skype for Business needs to use your microphone so others can hear you on a call.",,"Το Skype για επιχειρήσεις χρειάζεται πρόσβαση στο μικρόφωνό σας, για να σας ακούν οι υπόλοιποι συμμετέχοντες σε μια κλήση.",,"None",,"All",,"Skype for Business for iOS",,""
"Missed: %@",,"Χαμένη: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Missed call from %@",,"Αναπάντητη κλήση από %@",,"None",,"All",,"Skype for Business for iOS",,""
