"The meeting ended because the hosts have left.",,"Die Besprechung wurde beendet, da die Hosts die Besprechung verlassen haben.",,"None",,"All",,"Skype for Business for iOS",,""
"This meeting feature isn’t enabled by your organization.",,"Diese Besprechungsfunktion wurde von Ihrem Unternehmen nicht aktiviert.",,"None",,"All",,"Skype for Business for iOS",,""
"The meeting is full.",,"Die Besprechung ist voll.",,"None",,"All",,"Skype for Business for iOS",,""
"The invitation to %@ expired.",,"Die Einladung an %@ ist abgelaufen.",,"None",,"All",,"Skype for Business for iOS",,""
"You're already in a meeting. Do you want to leave it and join this one?",,"Sie nehmen bereits an einer Besprechung teil. Möchten Sie sie verlassen und an dieser teilnehmen?",,"None",,"All",,"Skype for Business for iOS",,""
" %@ couldn't join the meeting.",," %@ konnte an der Besprechung nicht teilnehmen.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t invite %@ because the meeting is full.",,"%@ kann nicht eingeladen werden, da die Besprechung bereits voll besetzt ist.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t add %@ to the meeting because the network is busy.",,"%@ kann der Besprechung nicht hinzugefügt werden, da das Netzwerk ausgelastet ist.",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't reach %@.",,"%@ konnte nicht erreicht werden.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ declined your invitation.",,"%@ hat Ihre Einladung abgelehnt.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ didn’t respond to the invitation.",,"%@ hat nicht auf die Einladung reagiert.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ can’t be found. Please check the address.",,"%@ wurde nicht gefunden. Überprüfen Sie die Adresse.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ has a Do Not Disturb status and can’t be reached.",,"%@ hat den Status „Nicht stören“ und kann nicht erreicht werden.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ can’t be reached and might be offline.",,"%@ ist nicht erreichbar und möglicherweise offline.",,"None",,"All",,"Skype for Business for iOS",,""
"A presenter has ended the meeting.",,"Ein Referent hat die Besprechung beendet.",,"None",,"All",,"Skype for Business for iOS",,""
"A server error occurred. Please contact your support team.",,"Serverfehler. Wenden Sie sich an das Supportteam.",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't complete your call.",,"Ihr Anruf konnte nicht verbunden werden.",,"None",,"All",,"Skype for Business for iOS",,""
"The subject line is too long.",,"Der Betreff ist zu lang.",,"None",,"All",,"Skype for Business for iOS",,""
"You don’t have sufficient permissions to join from or dial out another device.",,"Sie verfügen nicht über die Berechtigung, von einem anderen Gerät aus teilzunehmen oder eine ausgehende Wählverbindung zu einem anderen Gerät herzustellen.",,"None",,"All",,"Skype for Business for iOS",,""
"You don’t have permission to join this meeting.",,"Sie sind nicht zur Teilnahme an der Besprechung berechtigt.",,"None",,"All",,"Skype for Business for iOS",,""
"You were not admitted into the meeting.",,"Sie wurden nicht zur Besprechung zugelassen.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect to the server. Check your network connection, advanced options and try again.",,"Es kann keine Serververbindung hergestellt werden. Überprüfen Sie die Netzwerkverbindung und die erweiterten Optionen, und versuchen Sie es erneut.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t connect to the server. It may be busy or temporarily unavailable. Please try again.",,"Es kann keine Serververbindung hergestellt werden. Möglicherweise ist der Server ausgelastet oder vorübergehend nicht verfügbar. Wiederholen Sie den Vorgang.",,"None",,"All",,"Skype for Business for iOS",,""
"Conversation history can't be updated right now and might be out of sync",,"Aufgezeichnete Unterhaltungen können jetzt nicht aktualisiert werden und sind möglicherweise nicht synchronisiert.",,"None",,"All",,"Skype for Business for iOS",,""
"Conversation history can't be updated right now and might be out of sync.",,"Aufgezeichnete Unterhaltungen können jetzt nicht aktualisiert werden und sind möglicherweise nicht synchronisiert.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t get group members to invite. Try again later.",,"Die einzuladenden Gruppenmitglieder können nicht abgerufen werden. Wiederholen Sie den Vorgang später.",,"None",,"All",,"Skype for Business for iOS",,""
"Group does not have any individual members and can’t be invited.",,"Die Gruppe weist keine einzelnen Mitglieder auf und kann nicht eingeladen werden.",,"None",,"All",,"Skype for Business for iOS",,""
"Group is too large to invite.",,"Die Gruppe ist zu groß, um eingeladen zu werden.",,"None",,"All",,"Skype for Business for iOS",,""
"You have been disconnected because you have joined from another client.",,"Die Verbindung wurde getrennt, da Sie sich von einem anderen Client aus angemeldet haben.",,"None",,"All",,"Skype for Business for iOS",,""
"Can't connect to the server. Accept the redirection prompt.",,"Es kann keine Verbindung mit dem Server hergestellt werden. Nehmen Sie die Umleitungsaufforderung an.",,"None",,"All",,"Skype for Business for iOS",,""
"There's an encryption mismatch between you and %@. Contact your support team.",,"Die Verschlüsselung zwischen Ihnen und %@ stimmt nicht überein. Wenden Sie sich an das lokale Supportteam.",,"None",,"All",,"Skype for Business for iOS",,""
"Your Exchange login credentials aren’t valid. Try updating your Exchange or Skype for Business credentials.",,"Ihre Exchange-Anmeldeinformationen sind ungültig. Aktualisieren Sie Ihre Exchange- oder Skype for Business-Anmeldeinformationen.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect to Exchange. Please try again later.",,"Es kann keine Verbindung mit Exchange hergestellt werden. Versuchen Sie es später erneut.",,"None",,"All",,"Skype for Business for iOS",,""
"There is an error in the application. Please restart the application.",,"Fehler bei der Anwendung. Starten Sie die Anwendung erneut.",,"None",,"All",,"Skype for Business for iOS",,""
"An error occurred in Skype for Business. Please retry. If the problem persists, contact your support team.",,"Fehler in Skype for Business. Wiederholen Sie den Vorgang. Wenn das Problem weiterhin besteht, wenden Sie sich an das Supportteam.",,"None",,"All",,"Skype for Business for iOS",,""
"Can't connect you to the desktop or program presentation right now.",,"Zurzeit kann keine Verbindung mit der Desktop- oder Programmpräsentation hergestellt werden.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t find that group.",,"Diese Gruppe ist nicht zu finden.",,"None",,"All",,"Skype for Business for iOS",,""
"History for this conversation can’t be shown.",,"Der Verlauf für diese Unterhaltung kann nicht angezeigt werden.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t sign in because the server is temporarily unavailable.",,"Die Anmeldung ist nicht möglich, da der Server vorübergehend nicht verfügbar ist.",,"None",,"All",,"Skype for Business for iOS",,""
"You accepted this conversation somewhere else. To restart it, send a new message.",,"Sie haben diese Unterhaltung an einem anderen Ort angenommen. Um sie erneut zu starten, senden Sie eine neue Nachricht.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ didn’t get this message because policy restricts delivery:",,"%@ hat diese Nachricht nicht erhalten, da die Übermittlung durch eine Richtlinie eingeschränkt ist:",,"None",,"All",,"Skype for Business for iOS",,""
"One or more participants didn't get this message:",,"Mindestens ein Teilnehmer hat diese Nachricht nicht erhalten:",,"None",,"All",,"Skype for Business for iOS",,""
"IM content was removed because it's restricted by policy.",,"Chatinhalt wurde entfernt, da er durch eine Richtlinie beschränkt ist.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t send this message because of blocked content:",,"Diese Nachricht kann aufgrund von blockierten Inhalten nicht gesendet werden:",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t send your IM—you're already in a conversation with %@.",,"Ihre Chatnachricht kann nicht gesendet werden – Sie führen bereits eine Unterhaltung mit %@.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ didn’t get this message because it’s too large:",,"%@ hat diese Nachricht nicht erhalten, da sie zu groß ist:",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't reach %@ to send this message:",,"%@ wurde nicht erreicht, um diese Nachricht zu senden:",,"None",,"All",,"Skype for Business for iOS",,""
"%@ didn’t get this message because the format isn’t allowed:",,"%@ hat diese Nachricht nicht erhalten, da ihr Format unzulässig ist:",,"None",,"All",,"Skype for Business for iOS",,""
"The device %@ is using can’t get messages.",,"Das von %@ verwendete Gerät kann keine Nachrichten empfangen.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ can’t accept messaging invitations. This message wasn’t delivered",,"%@ kann keine Nachrichteneinladungen annehmen. Diese Nachricht wurde nicht übermittelt.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ does not support messaging. This message wasn’t delivered",,"%@ unterstützt keine Nachrichten. Diese Nachricht wurde nicht übermittelt.",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't send this message because we couldn't find %@.",,"Diese Nachricht wurde nicht gesendet, da %@ nicht gefunden wurde.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ has a Do Not Disturb status and didn't get this message:",,"%@ hat den Status „Nicht stören“ und hat diese Nachricht nicht erhalten:",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is offline and didn’t get this message:",,"%@ ist offline und hat diese Nachricht nicht erhalten:",,"None",,"All",,"Skype for Business for iOS",,""
"%@ didn’t get this message because of a server issue:",,"%@ hat diese Nachricht aufgrund eines Serverproblems nicht erhalten:",,"None",,"All",,"Skype for Business for iOS",,""
"This message may not have been sent to %@ because the server timed out:",,"Diese Nachricht wurde aufgrund eines Servertimeouts möglicherweise nicht an %@ gesendet:",,"None",,"All",,"Skype for Business for iOS",,""
"You're not authorized to send IMs to %@. We didn't send this:",,"Sie sind nicht berechtigt, Chatnachrichten an %@ zu senden. Ihre Nachricht wurde nicht gesendet:",,"None",,"All",,"Skype for Business for iOS",,""
"Failed to send:",,"Fehler beim Senden:",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn’t complete your call.",,"Ihr Anruf konnte nicht verbunden werden.",,"None",,"All",,"Skype for Business for iOS",,""
""We are unable to forward calls to this contact. Please select one of your Skype for Business contacts to forward calls to or select ""New Number"" to enter a phone number."",,"Es können keine Anrufe an diesen Kontakt weitergeleitet werden. Wählen Sie einen Ihrer Skype for Business-Kontakte als Ziel für die Anrufweiterleitung aus oder verwenden Sie „Neue Nummer“, um eine Telefonnummer einzugeben.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t sign you in. Please verify that your user name is in the format someone@example.com, and your password is valid.",,"Sie können nicht angemeldet werden. Überprüfen Sie, ob Ihr Benutzername das Format jemand@example.com aufweist und Ihr Kennwort gültig ist.",,"None",,"All",,"Skype for Business for iOS",,""
"That isn't valid sign-in info.  You need to sign in using the Skype for Business account provided by your organization.",,"Dies sind keine gültigen Anmeldeinformationen. Sie müssen sich mit dem von Ihrer Organisation bereitgestellten Skype for Business-Konto anmelden.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t sign you in. Proxy settings aren’t valid. Please check them and try again.",,"Sie können nicht angemeldet werden. Die Proxyeinstellungen sind ungültig. Überprüfen Sie sie, und versuchen Sie es erneut.",,"None",,"All",,"Skype for Business for iOS",,""
"One or more discovery server addresses are incorrect. Please check them and retry.",,"Eine oder mehrere Ermittlungsserveradressen sind falsch. Überprüfen Sie sie, und wiederholen Sie den Vorgang.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t sign in. Please verify your sign-in address and try again.",,"Anmeldung nicht möglich. Überprüfen Sie Ihre Anmeldeadresse, und wiederholen Sie den Vorgang.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect to Exchange.  Please check your account info and try again.",,"Es kann keine Verbindung mit Exchange hergestellt werden. Überprüfen Sie Ihre Kontoinformationen, und wiederholen Sie den Vorgang.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect to the server right now.  Please try again.",,"Zurzeit kann keine Serververbindung hergestellt werden. Wiederholen Sie den Vorgang.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t sign you in. Please try again.",,"Sie können nicht angemeldet werden. Versuchen Sie es erneut.",,"None",,"All",,"Skype for Business for iOS",,""
"Your password needs to be changed.  Please update it and try again.",,"Das Kennwort muss geändert werden. Aktualisieren Sie es, und wiederholen Sie den Vorgang.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect you to Skype for Business because the server connection was lost.",,"Sie können nicht mit Skype for Business verbunden werden, da keine Serververbindung besteht.",,"None",,"All",,"Skype for Business for iOS",,""
"The meeting you're trying to join doesn't exist.",,"Die Besprechung, an der Sie teilnehmen möchten, ist nicht vorhanden.",,"None",,"All",,"Skype for Business for iOS",,""
"This meeting feature isn't enabled by your organization.",,"Diese Besprechungsfunktion wurde von Ihrem Unternehmen nicht aktiviert.",,"None",,"All",,"Skype for Business for iOS",,""
"Unable to reach the server. Please verify your server address or try again later.",,"Der Server konnte nicht erreicht werden. Überprüfen Sie die Serveradresse, oder wiederholen Sie den Vorgang später.",,"None",,"All",,"Skype for Business for iOS",,""
"We can't sign you in because you aren't set up to use Skype for Business. Please contact your support team.",,"Sie können nicht angemeldet werden, da Sie nicht für die Verwendung von Skype for Business eingerichtet sind. Wenden Sie sich an Ihr Supportteam.",,"None",,"All",,"Skype for Business for iOS",,""
"Due to an error, others can’t see that you’re muted right now.",,"Aufgrund eines Fehlers können die anderen Teilnehmer nicht sehen, dass Sie zurzeit stummgeschaltet sind.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect to the network. Please check your connection settings.",,"Es kann keine Netzwerkverbindung hergestellt werden. Überprüfen Sie die Verbindungseinstellungen.",,"None",,"All",,"Skype for Business for iOS",,""
"This person or meeting doesn't have permissions on your network.",,"Diese Person oder Besprechung verfügt nicht über Berechtigungen in Ihrem Netzwerk.",,"None",,"All",,"Skype for Business for iOS",,""
"You don't have permission to expand this group.",,"Sie sind nicht berechtigt, diese Gruppe zu erweitern.",,"None",,"All",,"Skype for Business for iOS",,""
"Saving phone number disabled due to the server policy.",,"Speichern der Telefonnummer durch die Serverrichtlinien deaktiviert.",,"None",,"All",,"Skype for Business for iOS",,""
"We can't sign you in. Please configure your HTTP proxy settings in %@ settings and Skype for Business Options or use 3G to connect.",,"Sie können nicht angemeldet werden. Konfigurieren Sie Ihre HTTP-Proxyeinstellungen in den %@-Einstellungen und den Skype for Business-Optionen oder verwenden Sie 3G für die Verbindung.",,"None",,"All",,"Skype for Business for iOS",,""
"We can't remove this contact right now. Please try again later.",,"Der Kontakt kann zurzeit nicht entfernt werden. Versuchen Sie es später erneut.",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn’t remove the participant.",,"Wir konnten den Teilnehmer nicht entfernen.",,"None",,"All",,"Skype for Business for iOS",,""
"Recipient chose to respond with an instant message.",,"Der Empfänger hat mit einer Chatnachricht geantwortet.",,"None",,"All",,"Skype for Business for iOS",,""
"We can't connect to the server. If you're using Wi-Fi, open your browser to see if you have a connection. Otherwise, disable any hot-spot or tethering connections. If the problem persists, contact your network provider.",,"Sie können nicht mit dem Server verbunden werden. Falls Sie WLAN verwenden, öffnen Sie den Browser, um zu prüfen, ob eine Verbindung besteht. Deaktivieren Sie andernfalls alle Hotspot- oder Tetheringverbindungen. Wenn das Problem fortbesteht, wenden Sie sich an Ihren Netzwerkanbieter.",,"None",,"All",,"Skype for Business for iOS",,""
"Your account does not allow access from outside your organization's network. Please connect to your organization's network and then try signing in.",,"Ihr Konto erlaubt keinen Zugriff von außerhalb des Netzwerks Ihrer Organisation. Stellen Sie eine Verbindung mit dem Netzwerk der Organisation her, und versuchen Sie dann, sich anzumelden.",,"None",,"All",,"Skype for Business for iOS",,""
"We didn't find any matches. Try a shorter search.",,"Es wurden keine Treffer gefunden. Versuchen Sie es mit einer kürzeren Suche.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect to the server right now. Please try again.",,"Zurzeit kann keine Serververbindung hergestellt werden. Wiederholen Sie den Vorgang.",,"None",,"All",,"Skype for Business for iOS",,""
"We're trying to do something else for you. Give it a sec and try again.",,"Wir versuchen etwas anderes. Warten Sie einen Moment, und versuchen Sie es dann noch einmal.",,"None",,"All",,"Skype for Business for iOS",,""
"The presentation is too big to see on your device.",,"Die Präsentation ist zu groß, um auf Ihrem Gerät angezeigt zu werden.",,"None",,"All",,"Skype for Business for iOS",,""
"Presenting is disabled.",,"Präsentation ist deaktiviert.",,"None",,"All",,"Skype for Business for iOS",,""
"You can't present because of network issues. Please try again later.",,"Sie können aufgrund von Netzwerkproblemen keine Präsentation halten. Versuchen Sie es später erneut.",,"None",,"All",,"Skype for Business for iOS",,""
"Presenting isn't supported with this contact.",,"Präsentation wird für diesen Kontakt nicht unterstützt.",,"None",,"All",,"Skype for Business for iOS",,""
"The presentation didn't start because the server is busy. Please try again later.",,"Die Präsentation wurde nicht gestartet, da der Server ausgelastet ist. Wiederholen Sie den Vorgang später.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t verify the certificate from the server. Please contact your support team.",,"Das Zertifikat vom Server kann nicht überprüft werden. Wenden Sie sich an Ihr Supportteam.",,"None",,"All",,"Skype for Business for iOS",,""
"Callback has been already started.",,"Der Rückruf wurde bereits gestartet.",,"None",,"All",,"Skype for Business for iOS",,""
"Current call could not be put on hold.",,"Der aktuelle Anruf konnte nicht gehalten werden.",,"None",,"All",,"Skype for Business for iOS",,""
"Callback is not supported.",,"Rückruf wird nicht unterstützt.",,"None",,"All",,"Skype for Business for iOS",,""
"Callback could not be completed. A server error occurred.",,"Rückruf konnte aufgrund eines Serverfehlers nicht abgeschlossen werden.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t sync your device’s clock with the server. Please change your time settings or contact your support team.",,"Die Uhr Ihres Geräts kann nicht mit dem Server synchronisiert werden. Ändern Sie Ihre Uhrzeiteinstellungen, oder wenden Sie sich an das Supportteam.",,"None",,"All",,"Skype for Business for iOS",,""
"We can't sign you in. Looks like you are already signed in on too many devices.",,"Sie können nicht angemeldet werden. Anscheinend sind Sie schon bei zu vielen Geräten angemeldet.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t sign you in. Looks like you’re already signed in on too many devices.",,"Sie können nicht angemeldet werden. Anscheinend sind Sie schon bei zu vielen Geräten angemeldet.",,"None",,"All",,"Skype for Business for iOS",,""
"Please check the number and try again.",,"Überprüfen Sie die Nummer, und wiederholen Sie den Vorgang.",,"None",,"All",,"Skype for Business for iOS",,""
"Call via Work isn’t available.",,"Über Büro anrufen",,"None",,"All",,"Skype for Business for iOS",,""
"Need to be online or have mobile data connectivity to make a Skype for Business call to this person.",,"Sie müssen online sein oder über eine mobile Datenverbindung verfügen, um diese Person über Skype for Business anrufen zu können.",,"None",,"All",,"Skype for Business for iOS",,""
"Call via Work is turned off. Enter your phone number in options to make a Skype for Business call to this person.",,"„Geschäftlich anrufen“ ist deaktiviert. Geben Sie Ihre Telefonnummer in den Optionen ein, um diese Person über Skype for Business anzurufen.",,"None",,"All",,"Skype for Business for iOS",,""
"Due to an error, you’re still muted. Please try unmuting again.",,"Aufgrund eines Fehlers sind Sie noch immer stummgeschaltet. Versuchen Sie erneut, die Stummschaltung aufzuheben.",,"None",,"All",,"Skype for Business for iOS",,""
"You're not configured to connect to the server. Please contact your support team.",,"Für Sie ist keine Serververbindung konfiguriert. Wenden Sie sich an Ihr Supportteam.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ didn't accept your video.",,"%@ hat Ihr Video nicht akzeptiert.",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't start your video. Please try again.",,"Ihr Video konnte nicht gestartet werden. Versuchen Sie es erneut.",,"None",,"All",,"Skype for Business for iOS",,""
"The video portion of the call was not accepted by %@. The call will continue with audio only.",,"Der Videoteil des Anrufs wurde von %@ nicht akzeptiert. Der Anruf wird nur mit dem Audiosignal fortgesetzt.",,"None",,"All",,"Skype for Business for iOS",,""
"We couldn't start your video.",,"Ihr Video konnte nicht gestartet werden.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ can't accept video calls.",,"%@ kann keine Videoanrufe annehmen.",,"None",,"All",,"Skype for Business for iOS",,""
"This was a video call invite, but since you don't have a Wi-Fi connection, we just connected audio.",,"Dies war eine Einladung zu einem Videoanruf, da Sie jedoch nicht über eine WLAN-Verbindung verfügen, haben wir nur eine Audioverbindung hergestellt.",,"None",,"All",,"Skype for Business for iOS",,""
"Sorry, the call was disconnected. Please try again.",,"Die Verbindung wurde leider getrennt. Versuchen Sie es erneut.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ can’t get calls. Try instant messaging or email instead.",,"%@ kann keine Anrufe empfangen. Versuchen Sie, stattdessen Sofortnachrichten oder E-Mail zu verwenden.",,"None",,"All",,"Skype for Business for iOS",,""
"The call wasn't completed because of network issues. Please try again.",,"Der Anruf konnte aufgrund von Netzwerkproblemen nicht verbunden werden. Versuchen Sie es erneut.",,"None",,"All",,"Skype for Business for iOS",,""
"Call failed. This type of call is unsupported.",,"Anruffehler. Diese Art von Anruf wird nicht unterstützt.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t connect the call.",,"Der Anruf kann nicht verbunden werden.",,"None",,"All",,"Skype for Business for iOS",,""
"The call can’t be completed as dialed.",,"Der Anruf kann mit der gewählten Rufnummer nicht durchgeführt werden.",,"None",,"All",,"Skype for Business for iOS",,""
"The call couldn't be completed because the network is busy.",,"Der Anruf konnte nicht verbunden werden, da das Netzwerk ausgelastet ist.",,"None",,"All",,"Skype for Business for iOS",,""
"The call couldn’t be completed. Please try again later.",,"Der Anruf konnte nicht durchgeführt werden. Wiederholen Sie den Vorgang später.",,"None",,"All",,"Skype for Business for iOS",,""
"This call can’t be completed while you are offline. Please try signing in to Skype for Business to make the call.",,"Die Verbindung kann nicht hergestellt werden, während Sie offline sind. Versuchen Sie, sich bei Skype for Business anzumelden, um den Anruf zu tätigen.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t connect to the online meeting.",,"Es ist keine Verbindung mit der Onlinebesprechung möglich.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t locate %@.",,"%@ kann nicht gefunden werden.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t place the call. Please check the number and try again.",,"Der Anruf kann nicht durchgeführt werden. Überprüfen Sie die Nummer, und wiederholen Sie den Vorgang.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t contact %@.",,"%@ kann nicht kontaktiert werden.",,"None",,"All",,"Skype for Business for iOS",,""
"The calling feature is disabled.",,"Die Anruffunktion ist deaktiviert.",,"None",,"All",,"Skype for Business for iOS",,""
"The call can’t be completed due to a server issue.",,"Der Anruf kann aufgrund eines Serverproblems nicht durchgeführt werden.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ can't accept audio calls.",,"%@ kann keine Audioanrufe annehmen.",,"None",,"All",,"Skype for Business for iOS",,""
"Your organization doesn't support calling this number.",,"Anrufe zu dieser Rufnummer werden von Ihrer Organisation nicht unterstützt.",,"None",,"All",,"Skype for Business for iOS",,""
"Operation was unsuccessful.",,"Der Vorgang konnte nicht durchgeführt werden.",,"None",,"All",,"Skype for Business for iOS",,""
"You can’t make a VoIP call right now. Try calling from your work number.",,"Zurzeit können Sie keinen VoIP-Anruf führen. Versuchen Sie, von Ihrer geschäftlichen Rufnummer aus anzurufen.",,"None",,"All",,"Skype for Business for iOS",,""
"You can't make a VoIP call right now. Try calling from your mobile number.",,"Zurzeit können Sie keinen VoIP-Anruf führen. Versuchen Sie, von Ihrer Mobilnummer aus anzurufen.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ can’t answer this call.",,"%@ kann den Anruf nicht annehmen.",,"None",,"All",,"Skype for Business for iOS",,""
"The person you called responded with an IM.",,"Die angerufene Person hat mit einer Chatnachricht geantwortet.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ didn’t answer.",,"%@ hat nicht geantwortet.",,"None",,"All",,"Skype for Business for iOS",,""
"Call ended because %@ signed out.",,"Der Anruf wurde beendet, weil %@ sich abgemeldet hat.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is in another call.",,"%@ führt ein anderes Gespräch.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ isn’t in service. Please check the number.",,"%@ ist außer Betrieb. Überprüfen Sie die Nummer.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is set to Do Not Disturb.",,"%@ hat den Status „Nicht stören“.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is unavailable.",,"%@ ist nicht verfügbar.",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is unavailable or may be offline.",,"%@ ist nicht verfügbar oder möglicherweise offline.",,"None",,"All",,"Skype for Business for iOS",,""
"You can’t call %@ because calls are restricted by policy.",,"Sie können %@ nicht anrufen, da Anrufe durch Richtlinien eingeschränkt sind.",,"None",,"All",,"Skype for Business for iOS",,""
"The server can’t forward the call. Please try again.",,"Der Server kann den Anruf nicht weiterleiten. Wiederholen Sie den Vorgang.",,"None",,"All",,"Skype for Business for iOS",,""
"The server isn’t responding. Please try again later.",,"Der Server reagiert nicht. Wiederholen Sie den Vorgang später.",,"None",,"All",,"Skype for Business for iOS",,""
"Can’t connect the call due to a server error. Please try again.",,"Der Anruf kann aufgrund eines Serverfehlers nicht verbunden werden. Wiederholen Sie den Vorgang.",,"None",,"All",,"Skype for Business for iOS",,""
"The call couldn't be transferred.",,"Der Anruf konnte nicht durchgestellt werden.",,"None",,"All",,"Skype for Business for iOS",,""
"The call couldn't be transferred because the recipient can't be reached.",,"Der Anruf konnte nicht durchgestellt werden, da der Empfänger nicht erreicht wurde.",,"None",,"All",,"Skype for Business for iOS",,""
"You’re not configured to connect to the server.  Please contact your support team.",,"Für Sie ist keine Verbindung mit dem Server konfiguriert. Wenden Sie sich an das Supportteam.",,"None",,"All",,"Skype for Business for iOS",,""
"Earpiece",,"In-Ohr-Kopfhörer",,"None",,"All",,"Skype for Business for iOS",,""
"Edit",,"Bearbeiten",,"None",,"All",,"Skype for Business for iOS",,""
"%1$01d:%2$02d",,"%1$01d:%2$02d",,"None",,"All",,"Skype for Business for iOS",,""
"Email Address",,"E-Mail-Adresse",,"None",,"All",,"Skype for Business for iOS",,""
"%1$@ conversation with %2$@",,"%1$@-Unterhaltung mit %2$@",,"None",,"All",,"Skype for Business for iOS",,""
"The fine print:",,"Das Kleingedruckte:",,"None",,"All",,"Skype for Business for iOS",,""
"Normal carrier charges apply to all calls.\n\nImportant: Don’t use the Skype for Business app to make emergency calls.",,"Für alle Anrufe gelten die normalen Gebühren Ihres Netzanbieters.\n\nWichtig: Verwenden Sie die Skype for Business-App nicht für Notrufe.",,"None",,"All",,"Skype for Business for iOS",,""
"Don't use the Skype for Business app to make emergency calls.",,"Verwenden Sie die Skype for Business-App nicht für Notrufe.",,"None",,"All",,"Skype for Business for iOS",,""
"Important",,"Wichtig",,"None",,"All",,"Skype for Business for iOS",,""
"Emergency number",,"Notrufnummer",,"None",,"All",,"Skype for Business for iOS",,""
"Enable Logging",,"Protokollierung",,"None",,"All",,"Skype for Business for iOS",,""
"End",,"Ende",,"None",,"All",,"Skype for Business for iOS",,""
"End Conversation",,"Unterhaltung beenden",,"None",,"All",,"Skype for Business for iOS",,""
"End Video",,"Video beenden",,"None",,"All",,"Skype for Business for iOS",,""
"Enter your name",,"Geben Sie Ihren Namen ein.",,"None",,"All",,"Skype for Business for iOS",,""
"Enter your password",,"Kennwort eingeben",,"None",,"All",,"Skype for Business for iOS",,""
"Error",,"Fehler",,"None",,"All",,"Skype for Business for iOS",,""
"Failed to retrieve members of this group.",,"Fehler beim Abrufen der Mitglieder dieser Gruppe.",,"None",,"All",,"Skype for Business for iOS",,""
"Cannot use this group because it contains more than 100 members.",,"Diese Gruppe kann nicht verwendet werden, da sie mehr als 100 Mitglieder enthält.",,"None",,"All",,"Skype for Business for iOS",,""
"Starting conference call...",,"Der Konferenzanruf wird gestartet...",,"None",,"All",,"Skype for Business for iOS",,""
"Starting video conference...",,"Die Videokonferenz wird gestartet...",,"None",,"All",,"Skype for Business for iOS",,""
"Event",,"Ereignis",,"None",,"All",,"Skype for Business for iOS",,""
"Exchange",,"Exchange",,"None",,"All",,"Skype for Business for iOS",,""
